Country,Name,"Year Passed",Executive/Legislative,Framework,Categories,"Document Type"
Kyrgyzstan,"Law no 71/2007 about state regulation and policy in the field of emission and absorption of greenhouse gases",2007,Legislative,No,"Energy Supply; Institutions / Administrative arrangements",Law
"United Kingdom","Low Carbon Transport Innovation Strategy",2007,Executive,,"Carbon Pricing; Energy Demand; Research and development; Transportation",Strategy
Estonia,"National Environmental Strategy until 2030",2007,Executive,No,"Energy Demand; Energy Supply; REDD+ and LULUCF; Transportation",Strategy
Slovenia,"National Forest Program",2007,Executive,,"REDD+ and LULUCF",Programme
Armenia,"National Programme for Energy Saving and Renewable Energy",2007,Executive,No,"Energy Demand; Energy Supply",Programme
Netherlands,"National Programme for Spatial Adaptation to Climate Change (ARK), (April 2007)Implementation via the National Adaptation Strategy (November 2007), 7222",2007,Executive,Adaptation,"Energy Demand; REDD+ and LULUCF","Out of date"
Montenegro,"National Strategy for Sustainable Development to 2030",2007,Executive,No,"Adaptation; Energy Demand; Energy Supply; REDD+ and LULUCF; Research and development; Transportation",Strategy
Netherlands,"New Energy for Climate Policy: The Clean and Efficient Programme (CEP)",2007,Executive,,"Adaptation; Carbon Pricing; Energy Demand; Energy Supply; Institutions / Administrative arrangements; REDD+ and LULUCF; Research and development; Transportation",Programme
Italy,"New Feed-In premium for photovoltaic systems (Ministerial Decree)",2007,Executive,,"Energy Supply",Decree/order/ordinance
Spain,"Spanish Strategy for Climate Change and Clean Energy  and the related Plan of Urgent Measures",2007,Executive,Mitigation,"Adaptation; Energy Demand; Energy Supply; Institutions / Administrative arrangements; Research and development; Transportation",Strategy
Kazakhstan,"The Ecological Code of the Republic of Kazakhstan, No. 212 of 2007and Amendment to said legislation on 3 December 2011",2007,Legislative,,"Carbon Pricing; Energy Demand; Energy Supply",Law
Slovakia,"Act No 555/2005 Coll. on Energy efficiency certification of buildings",2006,Legislative,,"Energy Demand; Institutions / Administrative arrangements",Law
Poland,"Act on Biocomponents and Liquid Biofuels (Dz.U. 2006 nr 169 poz. 1199)",2006,Legislative,,"Energy Supply",Law
Luxembourg,"Action Plan towards the reduction of greenhouse gases emissions",2006,Executive,mitigation,"Energy Demand; Energy Supply; Institutions / Administrative arrangements; Research and development; Transportation",Plan
Bulgaria,"Clean Ambient Air Act",2006,Legislative,,"Institutions / Administrative arrangements",Law
"United Kingdom","Climate Change and Sustainable Energy Act",2006,Legislative,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements",Law
"United Kingdom","Climate Change Programme 2006",2006,Executive,,"Carbon Pricing; Energy Demand; Energy Supply; Transportation",Programme
"United Kingdom","Code for Sustainable Homes",2006,Executive,,"Energy Demand",Policy
Portugal,"Council of Ministers Resolutions 104/2006 and 1/2008, establishes and amends the National Climate Change Programme (PNAC)",2006,Executive,Mitigation,"Adaptation; Carbon Pricing; Energy Demand; Energy Supply; Institutions / Administrative arrangements; REDD+ and LULUCF; Research and development; Transportation",Programme
Portugal,"Decree-Law 71/2006 on the Portuguese Carbon Fund",2006,Executive,,"Carbon Pricing; Energy Demand; Energy Supply; Institutions / Administrative arrangements; REDD+ and LULUCF; Research and development","Decree law"
Slovenia,"Environmental Protection Act",2006,Legislative,Mitigation,"Carbon Pricing; Energy Demand; Energy Supply; Institutions / Administrative arrangements; Research and development; Transportation",Law
Greece,"Law L3468/2006 on the Generation of electricity from renewable energy sources and through high-efficiency co-generation of electricity and heat and miscellaneous provisions",2006,Legislative,,"Energy Supply",Law
Spain,"National Climate Change Adaptation Plan",2006,Executive,Adaptation,"Adaptation; Energy Demand; Energy Supply; Institutions / Administrative arrangements; REDD+ and LULUCF; Research and development; Transportation",Plan
Belarus,"Regulation of the National Greenhouse Gas Inventory System (Resolution of the Council of Ministers of the Republic of Belarus No. 585)",2006,Executive,,"Institutions / Administrative arrangements",Resolution
Belgium,"Royal Decree on the Tax Regulation Mechanism and Excise Duty Exemptions for Rapeseed Oil Biofuels",2006,Executive,,"Energy Supply",Decree/order/ordinance
Belarus,"State Commission for Climate Change Problems (Resolution of the Council of Ministers of the Republic of Belarus No. 1145)",2006,Executive,,"Institutions / Administrative arrangements",Resolution
Kazakhstan,"The Concept of Transition of the Republic of Kazakhstan to Sustainable Development for the Period 2007-2024, Presidential Decree No 216 of 2006",2006,Executive,,"Adaptation; Energy Demand; Energy Supply; Institutions / Administrative arrangements; REDD+ and LULUCF; Research and development; Transportation",Decree/order/ordinance
Turkey,"Act No. 5346 on Utilization of Renewable Energy Sources for the Purposes of Generating Electrical Energy (Renewable Energy Law)",2005,Legislative,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements; Research and development",Law
Turkey,"Act No. 5403 on Soil Conservation and Land Use",2005,Legislative,,"Adaptation; Institutions / Administrative arrangements; REDD+ and LULUCF",Law
Belgium,"Act-Programme (including the Creation of the Fund for General Reduction of Energy Costs)",2005,Legislative,,"Energy Demand; Institutions / Administrative arrangements",Law
Slovakia,"Act. No. 587/2004 Coll. on Environmental Fund",2005,Legislative,,"Energy Demand; Institutions / Administrative arrangements; REDD+ and LULUCF; Research and development; Transportation",Law
Italy,"Biofuel (Decree no. 128/2005 and Ministerial Decree of 13-dec-17)",2005,Executive,,"Energy Supply",Decree/order/ordinance
Germany,"Energy Industry Act (EnWG)",2005,Legislative,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements",Law
France,"Energy Policy Framework (POPE, No. 2005-781)",2005,Legislative,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements; Research and development",Law
Croatia,"Forest Law",2005,Legislative,,"Institutions / Administrative arrangements",Law
Romania,"Government Urgency Ordinance on the Environmental Fund, 196/ 2005",2005,Executive,,"Institutions / Administrative arrangements",Policy
Ukraine,"Law 2509-IV on Combined Heat and Power (cogeneration) and Waste Energy Potential, Amended by Law 2592-VI, Code 2755-VI, Law 2856-VI, and Law 3610-VI of 07.07.2011",2005,Legislative,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements; Research and development; Transportation",Law
Greece,"Law 3423/2005 on Introducing Biofuels and other Renewable Fuels to the Greek Market",2005,Legislative,,"Energy Supply; Transportation",Law
Spain,"Law no 1/2005 regulating the greenhouse gas emission rights trading scheme and creating the Climate Change Policy Coordination Commission (CCPCC)",2005,Legislative,mitigation,"Carbon Pricing; Institutions / Administrative arrangements",Law
"Macedonia (the former Yugoslav Republic of)","Law on Environment",2005,Executive,,"Energy Demand; Institutions / Administrative arrangements; Research and development; Transportation",Law
Ukraine,"National Action Plan on Implementation of the Kyoto Protocol, adopted through Resolution 346-p of the Cabinet of Ministers",2005,Executive,Mitigation,"Adaptation; Institutions / Administrative arrangements; Research and development",Plan
Armenia,"National Forest Programme",2005,Executive,No,"REDD+ and LULUCF",Programme
Portugal,"Resolution of Council of Ministers 68/2005, establishes the National System for the Estimation of Emissions by Sources and Removals by Sinks and Air Pollutants (SNIERPA)",2005,Executive,,"Institutions / Administrative arrangements; REDD+ and LULUCF; Research and development",Policy
Armenia,"Strategy for Development of the Energy Sector within the Context of Economic Development of Armenia",2005,Executive,No,"Energy Demand; Energy Supply",Resolution
Italy,"White Certificate Trading for End-Use Energy Efficiency",2005,Executive,,"Carbon Pricing; Energy Demand; Energy Supply; Institutions / Administrative arrangements",Policy
Finland,"Act on Verification and Notification of Origin of Electricity (1129/2003)",2004,Legislative,,"Energy Demand; Institutions / Administrative arrangements",Law
"European Union","Cogeneration (Directive 2004/8/EC on the promotion of cogeneration based on a useful heat demand in the internal energy market and amending Directive 92/42/EEC)",2004,Legislative,No,"Energy Supply","EU directive"
Netherlands,"Environmental Management Act 2004",2004,Legislative,,"Carbon Pricing; Energy Demand; Energy Supply; Transportation",Law
Norway,"Greenhouse Gas Emission Trading Act, No. 99 of 2004",2004,Legislative,,"Carbon Pricing",Law
Greece,"Law 3299/04 on Private Investment Incentives for Economic Development and Regional Convergence",2004,Legislative,,"Energy Demand; Energy Supply; Transportation",Law
"Macedonia (the former Yugoslav Republic of)","Law on Ambient Air Quality",2004,Legislative,,"Energy Demand; Institutions / Administrative arrangements",Law
Kazakhstan,"Law on Power Industry, No 588-II",2004,Legislative,,"Energy Supply",Law
"Czech Republic","National Programme to Abate the Climate Change Impacts, Government Resolution No. 187",2004,Executive,Mitigation,"Adaptation; Carbon Pricing; Energy Demand; Energy Supply; REDD+ and LULUCF; Transportation","Out of date"
Italy,"Reorganisation of Energy Sector Regulation (Law no. 239)",2004,Legislative,,"Energy Demand; Institutions / Administrative arrangements",Law
Uzbekistan,"Resolution of the Cabinet of Ministers No. 183 validating the Regulation on the State Hydrometeorological Service and Cabinet Decision no 606",2004,Executive,,"Institutions / Administrative arrangements; Research and development",Regulation/rules
Belgium,"Act on the Progressive Phase-out of Nuclear Energy from 2015 to 2025",2003,Legislative,,"Energy Supply",Law
Liechtenstein,"Clean Air Act",2003,Legislative,No,"Energy Supply",Law
Bulgaria,"Energy Act and the National Energy Strategy until 2020",2003,Legislative,,"Energy Demand; Energy Supply",Law
"European Union","Energy taxation (Directive 2003/96/EC of 27 October 2003 restructuring the Community framework for the taxation of energy products and electricity)",2003,Legislative,No,"Carbon Pricing; Energy Demand","EU directive"
Croatia,"Environmental Protection and Energy Efficiency Fund Act",2003,Legislative,,"Carbon Pricing; Energy Demand; Energy Supply; Institutions / Administrative arrangements; Transportation",Law
Kazakhstan,"Government Decree No 857, on wind energy development",2003,Executive,,"Energy Supply",Decree/order/ordinance
Ukraine,"Law 555 -IV on Alternative Energy Sources, amended by Law 601-VI",2003,Legislative,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements; Research and development; Transportation",Law
Romania,"Law on the use of nuclear energy for exclusively peaceful purposes 321/2003 that approved the Government Ordinance no. 7/2003",2003,Legislative,,"Energy Supply; Institutions / Administrative arrangements; Research and development",Law
Tajikistan,"National Action Plan for Climate Change Mitigation",2003,Executive,"Mitigation and adaptation","Adaptation; Energy Demand; Energy Supply; Research and development",Plan
Azerbaijan,"National Program on Environmentally Sustainable Socio-economic Development for 2003-2010",2003,Executive,No,"Adaptation; Energy Demand; Energy Supply; Research and development",Programme
Albania,"National Strategy of Energy",2003,Executive,No,"Energy Supply",Strategy
Russia,"Rules of Using Thermal Performance of Buildings",2003,Executive,,"Energy Demand; Institutions / Administrative arrangements",Policy
Greece,"Second National Climate Change Programme (approved by Act of the Ministerial Council 5/27.02.2003, amended in 2007)",2003,Executive,Mitigation,"Energy Demand; Energy Supply; REDD+ and LULUCF; Transportation",Programme
"United Kingdom","Bio-energy Capital Grants Scheme",2002,Executive,,"Energy Supply",Policy
Austria,"Climate Strategy",2002,Executive,,"Energy Demand; Energy Supply; Transportation",Strategy
Germany,"Combined Heat and Power Act (KWKG)",2002,Legislative,,"Energy Demand; Energy Supply",Law
"United Kingdom","Company Car Tax Reform",2002,Legislative,,"Energy Demand; Transportation",Law
"European Union","Directive 2002/91/EC and Directive 2010/31/EU on the energy performance of buildings",2002,Legislative,,"Energy Demand",Law
"European Union","Directive 2002/91/EC, Directive 2010/31/EU and Directive 2018/844 on the energy performance of buildings",2002,Legislative,No,"Energy Demand","EU directive"
Italy,"Inter-Ministerial Technical Committee for GHG emissions (CIPE resolution 123/2002)",2002,Executive,,"Institutions / Administrative arrangements",Resolution
Italy,"Introduction of the Green Certificates System",2002,Executive,,"Carbon Pricing; Energy Supply; Institutions / Administrative arrangements",Policy
Romania,"Law approving Government Emergency Ordinance no. 124/2001 on the establishment, organisation and functioning of the Romanian Energy Efficiency Fund, 287/2002",2002,Legislative,No,"Energy Demand; Institutions / Administrative arrangements",Law
Tajikistan,"Law No.29 on Energy  Saving",2002,Legislative,,"Energy Demand; Research and development; Transportation",Law
"United Kingdom","Preferential Tax Regimes for Biofuels",2002,Legislative,,Transportation,Law
"United Kingdom","Renewables Obligation",2002,Legislative,,"Energy Supply",Law
Spain,"Spanish Forest Plan",2002,Executive,,"Institutions / Administrative arrangements; REDD+ and LULUCF",Plan
Ireland,"Sustainable Energy Act Number 2 of 2002",2002,Legislative,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements; Research and development; Transportation",Law
Belgium,"The Co-operation Agreement on the National Climate Plan and the National Climate Plan",2002,Legislative,Mitigation,"Energy Demand; Energy Supply; Institutions / Administrative arrangements; REDD+ and LULUCF; Research and development; Transportation",Law
"Czech Republic","Act No. 406/2000 Coll. on Energy Management, as amended",2001,Legislative,,"Energy Demand; Energy Supply; Research and development",Law
"United Kingdom","Climate Change Agreements",2001,Legislative,,"Energy Demand",Law
"United Kingdom","Climate Change Levy",2001,Legislative,,"Energy Demand; Energy Supply",Law
Italy,"Finance Laws with particular climate measures",2001,Legislative,,"Carbon Pricing; Energy Demand; Energy Supply; Institutions / Administrative arrangements; REDD+ and LULUCF; Transportation",Law
Ireland,"Motor Vehicle (Duties and Licences) Act, no 22/2001 and no 9/2013",2001,Legislative,,"Energy Demand; Transportation",Law
Slovakia,"National Sustainable Development Strategy of the Slovak Republic, Resolution of the National Council of the Slovak Republic No. 1989/2001",2001,Executive,,"Adaptation; Energy Demand; Energy Supply; Institutions / Administrative arrangements",Decree/order/ordinance
Russia,"Programme for Energy Efficient Economy",2001,Executive,,"Energy Demand; Institutions / Administrative arrangements",Programme
Spain,"Royal Decrees on the Spanish Office for Climate Change (371/2001, 1000/2003, 1477/2004, 1334/2006, 424/2016, 895/2017)",2001,Executive,,"Institutions / Administrative arrangements",Decree/order/ordinance
Bulgaria,"Spatial Planning Act",2001,Legislative,,"Adaptation; Institutions / Administrative arrangements; REDD+ and LULUCF",Law
Moldova,"Strategy for Sustainable Development of Forestry Sector (Parliament Resolution No. 350-XV of 12.07.2001)",2001,Executive,,"REDD+ and LULUCF",Strategy
Italy,"Utility targets for increasing energy efficiency/introduction of white certificates (Ministerial Decree)",2001,Executive,,"Energy Supply",Decree/order/ordinance
"Czech Republic","Act No. 458/2000 Coll., on the Conditions for operating business and on performance of state administration in energy sectors (the Energy Act)",2000,Legislative,,"Energy Supply",Law
Switzerland,"Federal Heavy Vehicle Fee Act 641.81 and Federal Heavy Vehicle Fee Ordinance 641.811",2000,Legislative,,Transportation,Law
Italy,"Fund for GHG emissions reduction and energy efficiency (Finance Law 2001)",2000,Legislative,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements; REDD+ and LULUCF",Law
Ukraine,"Law 1391-XIV on Alternative Fuels, last amended by Law 4970-VI",2000,Legislative,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements; Research and development; Transportation",Law
Italy,"National Plan for Biofuels and Biomass (CIPE resolutions: 15/02/2000 )",2000,Executive,,"Energy Supply; REDD+ and LULUCF",Plan
Germany,"Renewable Energy Sources Act (EEG, latest version EEG 2017)",2000,Legislative,,"Energy Supply",Law
Belgium,"Act on Organization of the Electricity Market",1999,Legislative,,"Energy Supply; Institutions / Administrative arrangements",Law
"European Union","Directive 1999/94/EC relating to the availability of consumer information on fuel economy and CO2 emissions in respect of the marketing of new passenger cars",1999,Legislative,No,"Energy Demand; Transportation","EU directive"
Ireland,"Electricity Regulation Act, Number 23 of 1999",1999,Legislative,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements",Law
Switzerland,"Energy Act 730.0 and related regulation",1999,Legislative,,"Energy Demand; Energy Supply; Transportation",Law
Sweden,"Environmental Code DS2000:61",1999,Legislative,,"Adaptation; Energy Demand; REDD+ and LULUCF; Research and development; Transportation",Law
Finland,"Land use and Building Decree enacted under the Land use and Building Act (132/1999)",1999,Legislative,,"Adaptation; Energy Demand; Institutions / Administrative arrangements; REDD+ and LULUCF",Law
Luxembourg,"Law instituting the fund for the protection of the environment",1999,Legislative,,"Institutions / Administrative arrangements",Law
Belarus,"Act No. 190-Z of 1998 on energy savings",1998,Legislative,,"Energy Demand; Energy Supply",Law
Netherlands,"Electricity Act",1998,Legislative,,"Energy Supply; Institutions / Administrative arrangements",Law
Spain,"Law 34/1998, on the hydrocarbons sector",1998,Legislative,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements; Transportation",Law
Kyrgyzstan,"Law no. 88 “On energy saving”",1998,Legislative,No,"Energy Demand",Law
Spain,"Royal Decrees on the National Climate Council (177/1998, 1188/2001, 415/2014)",1998,Executive,,"Institutions / Administrative arrangements",Decree/order/ordinance
Belgium,"Act on Coordination of Federal Policy on Sustainable Development",1997,Legislative,,"Energy Demand; Energy Supply; Transportation",Law
Germany,"Energy Consumption Labelling Act (EnVKG)",1997,Legislative,,"Energy Demand",Law
Netherlands,"Energy Investment Tax Deduction Scheme (WEM)",1997,Executive,No,"Energy Demand; Energy Supply",Regulation/rules
Poland,"Energy Law (Dz.U. 1997 nr 54 poz. 348)",1997,Legislative,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements",Law
Poland,"Energy Law (Dz.U. 1997 nr 54 poz. 348)",1997,Legislative,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements",Law
Ukraine,"Law 575/97-BP on Electricity, amended by Law 601-VI and Law 5485-VI on Green Tariff (Feed-in Tariff)",1997,Legislative,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements",Law
Uzbekistan,"Law on the Rational Use of Energy; and the Parliamentary Decree regarding the procedure of enforcing the Law on the Rational Use of Energy",1997,Legislative,,"Energy Demand; Energy Supply",Law
Bulgaria,"Agricultural Land Protection Act",1996,Legislative,,"REDD+ and LULUCF",Law
Portugal,"Decree-Law 20/1996 on the Protection System Fund to combat Climatic Changes (SIPAC), amended by Decree-Law 23/2000",1996,Executive,No,"Adaptation; Institutions / Administrative arrangements; REDD+ and LULUCF","Decree law"
Tajikistan,"Law No.228 on Protection of the Atmospheric Air (Law on Air Protection)",1996,Legislative,,"Institutions / Administrative arrangements",Law
Ukraine,"Law 74/94-VR on Energy Saving, amended  by Law 783-XIV and Law 2509-IV",1994,Legislative,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements; Research and development",Law
Greece,"Law no. 2244/1994 on the Regulation of power generation issues from renewable energy sources and conventional fuels and other provisions",1994,Legislative,,"Energy Supply; Institutions / Administrative arrangements",Law
Armenia,"Law on atmospheric air pollution",1994,Legislative,No,"Industry; Institutions / Administrative arrangements",Law
Austria,"Environmental Support Act",1993,Legislative,,"Energy Demand; Institutions / Administrative arrangements",Law
Switzerland,"Forest Act 921.0",1993,Legislative,,"Adaptation; Institutions / Administrative arrangements; REDD+ and LULUCF",Law
Denmark,"Act on the Energy Tax on Mineral Oil Products – Act 313/2011",1992,Legislative,,"Carbon Pricing; Energy Demand",Law
Sweden,"Act 1990:582 on Carbon Tax and related regulations",1991,Legislative,,"Carbon Pricing; Energy Supply",Law
Denmark,"Carbon Dioxide Tax on Certain Energy Products – Act 321/2011",1991,Legislative,,"Carbon Pricing; Energy Demand",Law
Norway,"CO2 Tax Act no 21 on Petroleum Activities",1990,Legislative,,"Carbon Pricing",Act
Norway,"The Energy Act, No. 50 of 1990",1990,Legislative,,"Energy Supply; Institutions / Administrative arrangements",Law
Norway,"Pollution Control Act",1981,Legislative,,"Carbon Pricing; Institutions / Administrative arrangements",Act
Germany,"Energy Saving Act (EnEG)",1976,Legislative,,"Energy Demand",Law
Norway,"Product Control Act No. 79 of 1976",1976,Legislative,,"Energy Demand",Law
